Date,Open,High,Low,Close,Volume
5/6/06,29.9,31.35,30,31.35,4500
6/6/06,31.35,32.5,32,32.5,1000
8/6/06,32.5,31.25,31,31,2500
9/6/06,31,32.55,29.7,32.55,16500
12/6/06,32.55,34,32.5,32.9,18500
13/6/06,32.9,31.6,31.3,31.3,2000
14/6/06,31.3,31.5,30.2,30.2,2500
15/6/06,30.2,31.05,31,31,3500
16/6/06,31,32.5,31,32.5,4000
19/6/06,32.5,31.5,31,31,3000
20/6/06,31,29.6,29.5,29.5,1500
23/6/06,29.5,28.5,28.5,28.5,1000
28/6/06,28.5,27.4,27.25,27.25,2000
29/6/06,27.25,26.7,25.9,25.9,5500
3/7/06,25.9,26.5,26.5,26.5,1000
7/7/06,26.5,26.05,26.05,26.05,500
12/7/06,26.05,26.95,26.95,26.95,1000
13/7/06,26.95,28.25,28.05,28.05,2000
14/7/06,28.05,29.45,28.25,29,6000
17/7/06,29,30.45,30,30.45,10000
18/7/06,30.45,31.25,30.5,31,4500
19/7/06,31,31.5,30.8,31.5,2500
20/7/06,31.5,31.9,30.3,31.9,3500
21/7/06,31.9,32.9,32,32.9,1500
24/7/06,32.9,33,32.75,33,1000
25/7/06,33,34.45,33.5,34,3000
26/7/06,34,32.5,32.5,32.5,2000
27/7/06,32.5,34.05,33,34.05,5000
28/7/06,34.05,35.75,32.5,34.35,51000
31/7/06,34.35,35.75,32.7,32.7,18000
1/8/06,32.7,31.5,31.25,31.5,2000
2/8/06,31.5,31,30,31,2000
3/8/06,31,30,29.45,30,2000
7/8/06,30,29,28.5,28.5,2500
8/8/06,28.5,29.8,27.2,29.8,17500
9/8/06,29.8,30,30,30,1000
16/8/06,30,29.5,29.5,29.5,500
17/8/06,29.5,29,29,29,500
28/8/06,29,28.9,28.9,28.9,0
31/8/06,28.9,28.05,28,28,1500
20/9/06,28,27.25,26.6,26.6,5000
21/9/06,26.6,27.75,27.25,27.75,1500
28/9/06,27.75,26.75,26.75,26.75,1000
4/10/06,26.75,27.75,27.75,27.75,500
5/10/06,27.75,26.75,26.75,26.75,500
11/10/06,26.75,27.75,27.75,27.75,500
12/10/06,27.75,29.1,26.4,27.5,12500
13/10/06,27.5,27,27,27,1000
1/11/06,27,25.65,25.65,25.65,500
2/11/06,25.65,25.65,25.65,25.65,500
3/11/06,25.65,26.8,26.8,26.8,1000
8/11/06,26.8,26.5,26.5,26.5,0
13/11/06,26.5,26,26,26,1000
20/11/06,26,24.7,24.7,24.7,2500
